Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Imagen,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,puntosinteres_id,Tipo,Telefono
Circo Delanube,Montevideo,Montevideo,Grecia 3281Esq. Norteamérica,10:00:00,20:00:00,https://www.facebook.com/CircoDeLaNube/,,https://circodelanube.com/,Circo DeLaNube presenta su show de circo tradicional, un universo de fina comicidad y fantasía ilimitada, una función en donde las carcajadas se mezclan con el telón mágico del asombro, donde muchas sorpresas y dinamismos de emociones te esperan, desde malabarismos y danzas folclóricas y desfachatados Cocoliches, hasta supuestos audaces acróbatas y desequilibrados zanqueros.,https://circodelanube.files.wordpress.com/2013/12/cropped-cropped-logodelanubecompleto.jpg,3490589,5619131,Espacio cerrado,Todas,Grupo,,Circo,91086860
Anima Circus (infantil),Montevideo,Montevideo,Edificio Sede Av. 18 de Julio 1360 piso 3, 10:00:00,22:00:00,https://www.facebook.com/CentroCulturalElFlorencio/,,https://florencio.montevideo.gub.uy/evento/anima-circus-infantil,Anima Circus es un espectáculo que combina expresiones artísticas de gran atractivo popular: los títeres, el circo y el teatro callejero. Propone distintos números donde los actores-titiriteros y sus títeres en relación simbiótica generan performances con música, humor y gran despliegue visual. El hecho de que los artistas del circo, quienes realizan las pruebas, sean títeres, lleva a que los límites de su accionar, por ridículo, grotesco y tierno a la vez, sean infinitos. Las constantes del espectáculo son el colorido, la musicalidad y el humor absurdo e irreverente de los títeres. Representamos un estilo a medio camino entre los circos tradicionales y los modernos, llevando los números a dificultades al borde del ridículo, nos reímos de nosotros mismos como circo, y nos permitimos, sin culpa, presentar animales en la pista, ya que son títeres.,https://florencio.montevideo.gub.uy/sites/florencio.montevideo.gub.uy/files/styles/galeria_normal/public/eventos/imagenes/anima_circus_3_-_la_loca_compania_uruguay_-_teatro_y_titeres.png?itok=Hf-hDIwV,3490623,5618831,Espacio cerrado,Todas,Grupo,,Circo,92250260
Compañía Circomedia Uruguay,Montevideo,Montevideo,Paraguay 1061 Montevideo Montevideo Department 11100 · ~53 km,10:30:00,19:30:00,https://facebook.com/circomediauruguay,https://www.instagram.com/circomediauy/,https://www.circomediauruguay.com/,Nos apasiona lo que hacemos.Estamos convencidas de que las Pasiones se toman en serio, y hacer de esto una forma de vida es honrar nuestro oficio artístico.Comprometidas con esta cruzada, fuimos las primeras en Uruguay en crear una Carrera de Formación de Acróbatas y un Programa de Mentorías para ayudar a los artistas a vivir de lo que aman como emprendedores.Todo esto en un Centro con la mejor infraestructura del medio, un espacio en el que podés sentirte como en casa, y un equipo de profesionales capacitadas para darte la mejor experiencia de aprendizaje.Queremos compartirlo contigo, y con quienes tienen el coraje de vivir de lo que aman.Estamos preparadas para darte la mejor formación como acróbata.¡Bienvenidos!,https://www.circomediauruguay.com/uploads/2/1/9/1/21918882/add-a-subheading-8_orig.png,3490589,5619131,Espacio cerrado,Mayores,Grupo,,Circo,29035701
Academia de circo,Montevideo,Montevideo,Maldonado 993 11100 Montevideo Departamento de Montevideo Uruguay · ~54 km,0:00:00,23:59:59,https://m.facebook.com/cirkuslife/?locale2=es_LA,,https://m.facebook.com/pages/transparency/1644145262566569/active_ads/?refid=17&paipv=0&eav=AfYwzxP5TWThoevFij5lRp9-RYjCrgDHVuh0O_3OHvywvNJrY5KtHxvoky4XGc60VGk,Escuela de Artes escencias,https://m.facebook.com/photo.php?fbid=595606215304677&id=100045659125064&set=a.595606195304679&eav=AfZlXKT-xEO0zhfQP8YskyccISzpCKwNvwPQuX55k6IHNFlNWyUZ4jcxMCkzaySHstc&paipv=0&source=44&refid=17,3490964,5619403,Espacio cerrado,Mayores,Grupo,,Circo,95428508
Circo Lumiere,Montevideo,Montevideo,Agustín Velázquez 3988 27000 Montevideo Departamento de Montevideo Uruguay · ~52 km,0:00:00,23:59:59,https://www.facebook.com/circolumiere,,http://www.circolumiere.com/,Somos una compañía de artistas de circo moderno que propone soluciones artísticas y creativas para fiestas eventos y promociones.Nos dedicamos a la realización integral de performances animaciones, shows y acciones publicitarias donde interactúan el circo, la danza y la música. Creamos un momento único de ilusión y fantasía.Nuestras producciones son originales y exclusivas porque se adaptan a las ideas, necesidades y propuestas de nuestros clientes; y a las características de cada fiesta, evento o promoción.Pensamos y cuidamos hasta el mínimo detalle en cuanto a estética, vestuario, calidad artística y puesta en escena de cada evento producido.Contamos con un staff de artistas profesionales de gran trayectoria y experiencia que trabajan con técnica, destreza, riesgo y belleza en función de lograr un espectáculo de alto impacto.,http://www.circolumiere.com/img/slide27.jpg,3485718,5619237,Espacio cerrado,Mayores,Grupo,,Circo,99102801
El Nido - espacio de circo,Montevideo,Montevideo,Joaquín de Salterain 1280 11200 Montevideo Montevideo Department · ~146 km,18:00:00,22:00:00,https://www.facebook.com/elnidoespaciodecirco/,,,Circo para distrutan en familia.,https://th.bing.com/th/id/AV2kJZqL1MGrW0g480x360?&rs=1&pid=ImgDet,3490545,5617196,Espacio cerrado,Todas,Familia,,Circo,99580874
Entropia Galpon de Circo,Montevideo,Montevideo,Bacigalupi 2094 Esquina Lima Montevideo 11700 · ~2 km,0:00:00,23:59:59,,,,Circo infantil.,,3489354,5618417,,,,,Circo,94577422
Escuela de tetro y circo POLIZONTEATRO,Montevideo,Montevideo,Av. Gonzalo Ramírez 1595 11200 Montevideo Departamento de Montevideo Uruguay · ~15 km,18:00:00,19:15:00,https://www.facebook.com/casadelos.sietevientos,https://www.instagram.com/casadelos7vientos/,http://7vientos.com/web/,Circo para infantes.,http://7vientos.com/web/wp-content/uploads/2022/02/5-730x600.jpg,3489354,5619949,Espacio cerrado,,Familia,,Circo,29013939
El Circo Peluquería,Montevideo,Montevideo,San Jose 1057 Centro Montevideo 11100 · < 1 km,0:00:00,23:59:59,,,,Circo conjunto con peluqueria.,,3490690,5619553,Espacio cerrdo,Todas,Grupo,,Circo,25149534
El Barrilete,Montevideo,Montevideo,Camino Maldonado 5963 Montevideo Montevideo 12100 · ~66 km,9:00:00,18:00:00,https://www.bing.com/ck/a?!&&p=f3a0d433dca084d5JmltdHM9MTY3MzY1NDQwMCZpZ3VpZD0yNzQ5N2RjYS0wMzAyLTYwYmItMjE4Mi02YzUyMDJhNzYxNDMmaW5zaWQ9NTY5MA&ptn=3&hsh=3&fclid=27497dca-0302-60bb-2182-6c5202a76143&psq=EL+BARRILETE&u=a1aHR0cHM6Ly93d3cuZmFjZWJvb2suY29tL2VsYmFycmlsZXRlLmp1ZWdvcy8&ntb=1,,elbarrilete.com,Calesita infantil.,https://www.bing.com/th?id=A1nhEFYDtkkOfew480x360&w=205&h=180&c=8&rs=1&qlt=90&o=6&dpr=1.3&pid=3.1&rm=2,3483741,5611993,Al aire libre,,Familia,,Calesitas,26822476
AMOBLAMIENTOS DEL ESTE,Montevideo,Montevideo,AV.GIANNATTASIO KM.21 (50 M.SHOP.COSTA URBANA) - Lagomar - Canelones,8:00:00,20:00:00,https://www.facebook.com/adeleste1/,,http://www.adeleste.com/,Calesita infantil.,http://adeleste.com/img/img-hamacas.jpg,3483976,5599511,Espacio cerrado,,Familia,,Calesitas,43430006
PAYASIN,Montevideo,Montevideo,RUTA 3 KM. 90.500 - San Jose de Mayo - San Jose,9:00:00,17:00:00,https://www.facebook.com/profile.php?id=100063902956134,https://www.instagram.com/juegos_payasin/,payasin.com.uy,Calesita para infantes.,https://static.tingelmar.com/app/uy/negocios/icono/big/i54468-1-1191171350.webp,3433658,5673177,Ambos,Todas,Familia,,Calesitas,24107369
Pool Las Vegas,Montevideo,Montevideo,Plaza de Cagancha 1121 Montevideo Montevideo,20:00:00,6:00:00,https://www.facebook.com/pages/Pool%20Las%20Vegas/718195941543212/,,,Centro de maquinitas y pool.,https://maquinitas.uy/foto/jueg%C3%B3polis/img_20200109_190851/IMG_20200109_190851_hudbc1780224c053eadfc145029e9cac8d_1339814_800x600_fit_q75_box.jpg,3490594,5619364,Espacio cerrado,Mayores,Grupo,,Maquinitas,22013103
Mundo Cartoon Network,Montevideo,Montevideo,Nuevocentro Shopping. Av. Dr. Luis Alberto de Herrera 3365 Montevideo Montevideo,10:00:00,19:00:00,https://www.facebook.com/pages/Mundo-Cartoon/497521433698848,,,Un mundo para disfrutar en familia.,https://www.facebook.com/photo/?fbid=290576037801495&set=p.290576037801495&__tn__=%3C,3486896,5617152,Espacio cerrado,Todas,Familia,,Maquinitas,0
Playland,Montevideo,Montevideo,Calle Victor Soliño Municipio CH Montevideo 11300 · ~99 km,0:00:00,23:59:59,,,,Centro de juegos.,,3492466,5615989,Espacio cerrado,Todas,Familia,,Maquinitas,26007943
Play Time (Portones),Montevideo,Montevideo,Shopping Portones. Av. Italia 5775 Montevideo Montevideo,0:00:00,23:59:59,,,,Maquinita playera.,https://www.bing.com/th?id=OIP.SK3OdjxDlD2Mgv3-eVXVxwHaFj&w=176&h=185&c=8&rs=1&qlt=90&o=6&dpr=1.3&pid=3.1&rm=2,3488159,5608218,Al aire libre,Todas,Familia,,Maquinitas,29000151
Bowling Center,Montevideo,Montevideo,18 de Julio 1333 Montevideo Montevideo,0:00:00,23:59:59,https://www.facebook.com/pages/Bowling-Center/374119672647494/,,,El mejor Bowling de Uruguay, Montevideo.,https://scontent.fmvd1-1.fna.fbcdn.net/v/t39.30808-6/326457341_1007481366896731_2131969414800208577_n.jpg?stp=dst-jpg_p417x417&_nc_cat=105&ccb=1-7&_nc_sid=8bfeb9&_nc_eui2=AeGigTVf_DsAXzvk8v-Q83AJdNYPQ1O3ByF01g9DU7cHITjm-tgbax0-O70jy9kbUUUw7GPbs0bMcgtpD5jTOVH8&_nc_ohc=r3vDBwCF2SQAX_x0uKL&_nc_ht=scontent.fmvd1-1.fna&oh=00_AfBIHJ9JESNU3C1QLw9Hct3eUzp6JPocNywzrSToWZchiw&oe=63CF526C,3490542,5618963,Espacio cerrado,Todas,Grupo,,Maquinitas,24861621
Los Calchaquies Uruguay - Inflables, Personajes y Animacion,Montevideo,Montevideo,Montevideo Montevideo Montevideo Department · ~13 km,12:00:00,19:00:00,https://www.facebook.com/inflables.Uruguay.loscalchaquies/,,http://loscalchaquies.com.uy/,Brindamos una amplia variedad de propuestas para que cada festejo sea original, divertido e inolvidable.,https://loscalchaquies.com.uy/wp-content/uploads/2019/03/logo.png,3489883,5619416,Ambos,,Familia,,Juegos Infantiles,24107369
Parque de Juegos Infantiles,Montevideo,Montevideo,C. Minas 11200 Montevideo Departamento de Montevideo Uruguay · ~46 km,0:00:00,23:59:59,https://www.facebook.com/montevideoIM/,https://www.instagram.com/montevideoim/,https://montevideo.gub.uy/,Juegos para infantes.,https://montevideo.gub.uy/sites/default/files/styles/imagen_resumen_2018/public/biblioteca/ecoparqueideavilarino1.jpeg,3490312,5619175,Al aire libre,Todas,Familia,,Juegos Infantiles,24024314
Palacio de los Niños,Montevideo,Montevideo,Colonia 1646 Montevideo Montevideo Department Montevideo Department 11200 · ~47 km,10:00:00,18:00:00,https://www.facebook.com/Palaciodelosninosuy/,,https://www.instagram.com/jugueteriapalacio/,Toy store games para infantes.,https://th.bing.com/th/id/Ap6rueoc3diKUcg480x360?&rs=1&pid=ImgDet,3490298,5618344,Espacio cerrado,,Familia,,Juegos Infantiles,26013031
Los Reyes Magos,Montevideo,Montevideo,6406Calle Doctor Alejandro Schroeder Municipio E Montevideo 11500 · ~112 km,10:00:00,19:00:00,https://www.facebook.com/JugueteriaLosReyesMagos/,https://www.instagram.com/losreyesmagosj/,https://www.losreyesmagos.com.uy/,La tienda de juegos ideal para infantes.,https://th.bing.com/th?id=A01RPQzKCl6y7/g480x360&rs=1&pid=ImgDet,3488725,5606122,Espacio cerrado,Todas,Familia,,Juegos Infantiles,24861621
Los Calchaquíes,Montevideo,Montevideo,Uruguay 11600 Montevideo Departamento de Montevideo Uruguay · ~52 km,0:00:00,23:59:59,,,https://loscalchaquies.com.uy/,Fiesta y planeamiento de eventos,http://loscalchaquies.com.uy/wp-content/uploads/2019/03/Los-Calchaqui%CC%81es_11ago.2018_1052.jpg,3471994,5621789,Ambos,Todas,Familia,,Juegos Infantiles,0
